Account,trade_date,daily_pnl,total_fee,trades,realized_trades,profitable_trades,losing_trades,avg_trade_size_usd,median_trade_size_usd,gross_notional_usd,avg_abs_start_position,buy_trades,sell_trades,long_flag_count,short_flag_count,trade_win_rate,long_short_ratio,net_pnl_after_fees,active_day,classification,value,sentiment_bucket
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,167.796055,177,0,0,0,5089.718248587571,2736.64,900880.13,153.88753898305086,0,177,0,177,,0.0,-167.796055,1,Extreme Greed,76.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,67.883615,68,0,0,0,7976.664411764705,2340.0,542413.1799999999,495.99813823529405,0,68,0,68,,0.0,-67.883615,1,Extreme Greed,90.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,94.93798300000002,40,0,0,0,23734.5,3594.51,949380.0,456.89492,0,40,0,40,,0.0,-94.93798300000002,1,Extreme Greed,83.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,33.823995,12,12,0,12,28186.666666666668,29307.14,338240.0,634.7470833333333,12,0,0,12,0.0,0.0,-21260.823995,1,Extreme Greed,94.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,104.62249,27,12,12,0,17248.14814814815,8898.3,465700.0,512.9988888888888,12,15,0,27,1.0,0.0,1498.47751,1,Extreme Greed,79.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,131.679967,82,82,0,82,16058.536341463414,6309.9400000000005,1316799.98,450.26482073170735,82,0,0,82,0.0,0.0,-132402.679967,1,Extreme Greed,77.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,390.921553,23,0,0,0,48561.68565217392,29999.75,1116918.77,441.5700652173913,0,23,0,23,,0.0,-390.921553,1,Extreme Greed,84.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,121.229992,33,33,0,33,36736.36242424243,796.08,1212299.96,509.005303030303,33,0,0,33,0.0,0.0,-175732.23004800003,1,Greed,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,780.33644,465,112,23,89,11410.954021505377,1097.2,5306093.62,2406.510988817204,112,353,0,465,0.20535714285714285,0.0,70613.627658,1,Extreme Greed,77.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,23.971493,51,28,28,0,9400.588039215687,1170.0,479429.99,6885.46,28,23,0,51,1.0,0.0,40194.628505,1,Extreme Greed,76.0,Greed
